system:index,class,.geo
00000000000000000281,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.246792000000001]}"
00000000000000000282,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.245824]}"
00000000000000000283,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.244856]}"
00000000000000000284,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.243888]}"
00000000000000000285,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.24292]}"
00000000000000000286,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.241952000000001]}"
00000000000000000287,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.240984000000001]}"
00000000000000000288,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.240016]}"
00000000000000000289,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.239048]}"
00000000000000000290,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.23808]}"
00000000000000000291,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.237112]}"
00000000000000000292,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.236144000000001]}"
00000000000000000293,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.235176000000001]}"
00000000000000000294,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.234208]}"
00000000000000000295,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.23324]}"
00000000000000000296,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.232272]}"
00000000000000000297,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.231304]}"
00000000000000000298,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.230336000000001]}"
00000000000000000299,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.229368000000001]}"
00000000000000000300,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.2284]}"
00000000000000000301,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.227432]}"
00000000000000000302,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.226464]}"
00000000000000000303,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.225496000000001]}"
00000000000000000304,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.224528000000001]}"
00000000000000000305,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.22356]}"
00000000000000000306,2,"{""type"":""Point"",""coordinates"":[-39.019476,-12.222592]}"
